City Name,City ID,Country Code,Longitude,Latitude,Temp,Feels Like Temp,Min Temp,Max Temp,Pressure,Humidity,Visibility,Wind Speed,Wind Temp,Sunrise,Sunset,Cloudiness
Khandyga,2022773,RU,135.6,62.6667,-14.03,-14.03,-14.03,-14.03,1019,98,557,0.74,10,1647637434,1647680830,100
Wajima,1848976,JP,136.9,37.4,5.2,1.06,5.2,5.2,1009,91,8892,6.23,349,1647637102,1647680538,100
Lagoa,3372964,PT,-27.9833,39.05,12.38,11.16,12.38,12.38,1024,57,10000,5.95,325,1647676633,1647720134,97
Erin,4621108,US,-87.6947,36.3184,8.1,5.12,6.81,9.1,1015,85,10000,5.24,248,1647690949,1647734474,100
Fortuna,5563839,US,-124.1573,40.5982,8.33,6.79,7.51,9.25,1014,96,4023,2.57,140,1647699688,1647743233,100
Progreso,3521108,MX,-89.6667,21.2833,26.73,29.07,26.06,26.73,1016,79,10000,5.48,142,1647691415,1647734954,8
Grindavik,3416888,IS,-22.4338,63.8424,0.26,-5.44,-0.03,0.26,1002,100,6000,6.69,10,1647675269,1647718835,100
Toora-Khem,1489401,RU,96.11,52.4675,-14.96,-14.96,-14.96,-14.96,1032,96,10000,1.22,255,1647646893,1647690322,100
Russell,4047434,US,-85.1999,32.3502,13.47,12.83,12.76,14.39,1018,75,10000,4.63,280,1647690350,1647733875,75
Sahāranpur,1257806,IN,77.55,29.9667,28.47,27.13,28.47,28.47,1003,22,10000,0.69,188,1647651322,1647694800,0
San Alberto,3670242,CO,-73.3922,7.7611,28.98,31.15,28.98,28.98,1012,61,10000,1.23,227,1647687495,1647731064,79
Torbay,6167817,CA,-52.7314,47.6666,-0.15,-7.15,-0.82,0.88,1015,79,10000,10.29,340,1647682562,1647726081,75
Vieques,4568570,PR,-65.8329,18.425,27.67,30.52,26,29.26,1020,74,10000,4.63,80,1647685696,1647729235,40
Mwinilunga,902620,ZM,24.4293,-11.7358,23.69,23.99,23.69,23.69,1009,72,10000,2.53,120,1647663974,1647707641,84
Bilma,2446796,NE,12.9164,18.6853,33.81,31.5,33.81,33.81,1009,2,10000,4.77,119,1647666807,1647710332,0
Turukhansk,1488903,RU,87.9833,65.8167,-10.53,-15.23,-10.53,-10.53,1007,98,10000,2.32,290,1647648830,1647692285,100
Butaritari,2110227,KI,172.7902,3.0707,26.7,29.32,26.7,26.7,1008,83,10000,8.21,100,1647714795,1647758385,43
Jamestown,5122534,US,-79.2353,42.097,12.05,11.11,9.73,12.79,1006,69,10000,3.09,210,1647688919,1647732444,100
Port Blair,1259385,IN,92.75,11.6667,25.37,26.13,25.37,25.37,1007,83,10000,4.19,19,1647647644,1647691184,100
Porto-Novo,2392087,BJ,2.6036,6.4965,31.55,36.04,31.55,31.55,1008,60,10000,3.63,202,1647669260,1647712829,94
Guerrero Negro,4021858,MX,-114.0611,27.9769,14.17,13.99,14.17,14.17,1016,90,10000,3,333,1647697270,1647740806,0
Verkhnevilyuysk,2013639,RU,120.3167,63.4453,-13.7,-20.24,-13.7,-13.7,1012,94,10000,3.22,170,1647641093,1647684505,93
Ahipara,2194098,NZ,173.1667,-35.1667,18.6,18.81,18.6,18.6,1010,88,10000,5.98,50,1647714593,1647758406,13
Ekibastuz,1524325,KZ,75.3667,51.6667,-16.34,-16.34,-16.34,-16.34,1038,100,9177,1.23,277,1647651863,1647695306,48
Makīnsk,1521230,KZ,70.4169,52.6292,-16.9,-16.9,-16.9,-16.9,1038,92,10000,1.13,240,1647653050,1647696496,11
Mahébourg,934322,MU,57.7,-20.4081,27.16,31.08,27.16,28.47,1010,89,3000,2.06,220,1647655954,1647699694,75
